ename,node,var,state,period,value
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,0,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,0,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,0,1808
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,0,-1808
e2.hx.hhwt_Q,e2.hx,hhwt,Q,0,0
e2.hhwt.hx_Q,e2.hhwt,hx,Q,0,0
e2.sc.hx_Q,e2.sc,hx,Q,0,0
e2.hx.sc_Q,e2.hx,sc,Q,0,0
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,0,0
e2.ahu.heat_Q,e2.ahu,heat,Q,0,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,0,0
e2.ahu.cool_Q,e2.ahu,cool,Q,0,0
e2.ac.cwt_Q,e2.ac,cwt,Q,0,0
e2.cwt.ac_Q,e2.cwt,ac,Q,0,0
e2.hhwt.ac_Q,e2.hhwt,ac,Q,0,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,0,0
e2.ct.ac_Q,e2.ct,ac,Q,0,0
e2.ac.ct_Q,e2.ac,ct,Q,0,0
e2.ec.cwt_Q,e2.ec,cwt,Q,0,0
e2.cwt.ec_Q,e2.cwt,ec,Q,0,0
e2.ice.ec_Q,e2.ice,ec,Q,0,-17199
e2.ec.ice_Q,e2.ec,ice,Q,0,17199
e2.ice.cwt_Q,e2.ice,cwt,Q,0,0
e2.cwt.ice_Q,e2.cwt,ice,Q,0,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,0,-160
e2.dhwt.storage_Q,e2.dhwt,storage,Q,0,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,0,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,0,0
e2.ice.storage_Q,e2.ice,storage,Q,0,17199
e2.sc.IDN_Q,e2.sc,IDN,Q,0,0
e2.dhwt.electric_Q,e2.dhwt,electric,Q,0,1968
e2.dhw.Demand_Q,e2.dhw,Demand,Q,0,0
e2.ct.rejected_Q,e2.ct,rejected,Q,0,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,0,0
e2.ec.electric_Q,e2.ec,electric,Q,0,0
e2.ec.rejected_Q,e2.ec,rejected,Q,0,-22854
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,0,5654
e2.dhwt.loss_D,e2.dhwt,loss,D,0,8
e2.hhwt.loss_D,e2.hhwt,loss,D,0,8
e2.dhwt.storage_J,e2.dhwt,storage,J,0,0
e2.hhwt.storage_J,e2.hhwt,storage,J,0,0
e2.ice.storage_J,e2.ice,storage,J,0,0
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,1,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,1,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,1,1808
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,1,-1808
e2.hx.hhwt_Q,e2.hx,hhwt,Q,1,0
e2.hhwt.hx_Q,e2.hhwt,hx,Q,1,0
e2.sc.hx_Q,e2.sc,hx,Q,1,0
e2.hx.sc_Q,e2.hx,sc,Q,1,0
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,1,0
e2.ahu.heat_Q,e2.ahu,heat,Q,1,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,1,0
e2.ahu.cool_Q,e2.ahu,cool,Q,1,0
e2.ac.cwt_Q,e2.ac,cwt,Q,1,0
e2.cwt.ac_Q,e2.cwt,ac,Q,1,0
e2.hhwt.ac_Q,e2.hhwt,ac,Q,1,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,1,0
e2.ct.ac_Q,e2.ct,ac,Q,1,0
e2.ac.ct_Q,e2.ac,ct,Q,1,0
e2.ec.cwt_Q,e2.ec,cwt,Q,1,0
e2.cwt.ec_Q,e2.cwt,ec,Q,1,0
e2.ice.ec_Q,e2.ice,ec,Q,1,-17199
e2.ec.ice_Q,e2.ec,ice,Q,1,17199
e2.ice.cwt_Q,e2.ice,cwt,Q,1,0
e2.cwt.ice_Q,e2.cwt,ice,Q,1,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,1,-160
e2.dhwt.storage_Q,e2.dhwt,storage,Q,1,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,1,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,1,0
e2.ice.storage_Q,e2.ice,storage,Q,1,17199
e2.sc.IDN_Q,e2.sc,IDN,Q,1,0
e2.dhwt.electric_Q,e2.dhwt,electric,Q,1,1967
e2.dhw.Demand_Q,e2.dhw,Demand,Q,1,0
e2.ct.rejected_Q,e2.ct,rejected,Q,1,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,1,0
e2.ec.electric_Q,e2.ec,electric,Q,1,0
e2.ec.rejected_Q,e2.ec,rejected,Q,1,-22854
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,1,5654
e2.dhwt.loss_D,e2.dhwt,loss,D,1,8
e2.hhwt.loss_D,e2.hhwt,loss,D,1,8
e2.dhwt.storage_J,e2.dhwt,storage,J,1,0
e2.hhwt.storage_J,e2.hhwt,storage,J,1,0
e2.ice.storage_J,e2.ice,storage,J,1,-61919999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,2,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,2,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,2,1808
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,2,-1808
e2.hx.hhwt_Q,e2.hx,hhwt,Q,2,0
e2.hhwt.hx_Q,e2.hhwt,hx,Q,2,0
e2.sc.hx_Q,e2.sc,hx,Q,2,0
e2.hx.sc_Q,e2.hx,sc,Q,2,0
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,2,0
e2.ahu.heat_Q,e2.ahu,heat,Q,2,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,2,0
e2.ahu.cool_Q,e2.ahu,cool,Q,2,0
e2.ac.cwt_Q,e2.ac,cwt,Q,2,0
e2.cwt.ac_Q,e2.cwt,ac,Q,2,0
e2.hhwt.ac_Q,e2.hhwt,ac,Q,2,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,2,0
e2.ct.ac_Q,e2.ct,ac,Q,2,0
e2.ac.ct_Q,e2.ac,ct,Q,2,0
e2.ec.cwt_Q,e2.ec,cwt,Q,2,0
e2.cwt.ec_Q,e2.cwt,ec,Q,2,0
e2.ice.ec_Q,e2.ice,ec,Q,2,-17199
e2.ec.ice_Q,e2.ec,ice,Q,2,17199
e2.ice.cwt_Q,e2.ice,cwt,Q,2,0
e2.cwt.ice_Q,e2.cwt,ice,Q,2,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,2,-160
e2.dhwt.storage_Q,e2.dhwt,storage,Q,2,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,2,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,2,0
e2.ice.storage_Q,e2.ice,storage,Q,2,17199
e2.sc.IDN_Q,e2.sc,IDN,Q,2,0
e2.dhwt.electric_Q,e2.dhwt,electric,Q,2,1968
e2.dhw.Demand_Q,e2.dhw,Demand,Q,2,0
e2.ct.rejected_Q,e2.ct,rejected,Q,2,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,2,0
e2.ec.electric_Q,e2.ec,electric,Q,2,0
e2.ec.rejected_Q,e2.ec,rejected,Q,2,-22854
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,2,5654
e2.dhwt.loss_D,e2.dhwt,loss,D,2,8
e2.hhwt.loss_D,e2.hhwt,loss,D,2,8
e2.dhwt.storage_J,e2.dhwt,storage,J,2,0
e2.hhwt.storage_J,e2.hhwt,storage,J,2,0
e2.ice.storage_J,e2.ice,storage,J,2,-123839999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,3,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,3,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,3,1808
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,3,-1808
e2.hx.hhwt_Q,e2.hx,hhwt,Q,3,0
e2.hhwt.hx_Q,e2.hhwt,hx,Q,3,0
e2.sc.hx_Q,e2.sc,hx,Q,3,0
e2.hx.sc_Q,e2.hx,sc,Q,3,0
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,3,0
e2.ahu.heat_Q,e2.ahu,heat,Q,3,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,3,0
e2.ahu.cool_Q,e2.ahu,cool,Q,3,0
e2.ac.cwt_Q,e2.ac,cwt,Q,3,0
